Джинбей,,,,
,,,,
"Visico SB-030 20x90cm софтбокс, шт",,"4,000",720-00,
"Visico SB-030 30x120cm софтбокс, шт",,"4,000",1100-00,
"Visico SB-030 35x140cm софтбокс, шт",,"4,000",1180-00,
"Visico SB-030 40x200cm софтбокс, шт",,"1,000",15550-00,
"Visico SB-030 60x200cm софтбокс, шт",,"4,000",1780-00,
"Visico SB-030 60x60cm софтбокс, шт",,+,860-00,
"Visico SB-035 80cm октабокс 8-угольный BW, шт",,+,1520-00,
"Visico SB-040 20x90cm софтбокс с сотовой решеткой, шт",,+,1380-00,
"Visico SB-040 30x120cm софтбокс с сотовой решеткой, шт",,+,1730-00,
"Visico SB-040 35x140cm софтбокс с сотовой решеткой, шт",,+,1940-00,
"Visico SB-040 50x130cm софтбокс с сотовой решеткой, шт",,"4,000",1650-00,
"Visico SB-040 60x60cm софтбокс с сотовой решеткой, шт",,"2,000",1590-00,
"Visico SB-040 60x90cm софтбокс с сотовой решеткой, шт",,"1,000",1730-00,
"Visico SB-040 70x100cm софтбокс с сотовой решеткой, шт",,"3,000",2000-00,
"Visico SB-040 80x120cm софтбокс с сотовой решеткой, шт",,+,2150-00,
"Visico SB-040 92x122cm софтбокс с сотовой решеткой, шт",,+,2160-00,
"Visico SC-003 зажим, шт",,"4,000",655-00,
"Visico SC-005B клипса, шт",,+,150-00,
"Visico SN-202 узкоугольная насадка, шт",,+,800-00,
"Visico TR-051 60cm Silver & Gold отражатель треугольный, шт",,+,450-00,
"Visico TR-051 80cm Silver & Gold отражатель треугольный, шт",,+,550-00,
"Visico UB-001 100см зонт просветной , шт",,+,200-00,
"Visico VC-801TX пульт ДУ с функцией радиосинхронизации, шт",,"2,000",1730-00,
"Visico VC-816TX передатчик для VC-816, шт",,"1,000",350-00,
"Visico VS-B600 держатели фонов, шт",,"2,000",4080-00,
"Visico VT-300 Creative Kit Комплект студийного оборудования, шт",,+,14900-00,
"Visico VT-300 SOFT box/umbrella Kit Комплект студийного оборудования, шт",,"3,000",10400-00,
"Visico VT-300 Unigue Kit Комплект студийного оборудования, шт",,+,17050-00,
"Visico VT-400 Creative Kit Комплект студийного оборудования, шт",,+,16350-00,
"Visico VT-400 Unigue Kit Комплект студийного оборудования, шт",,+,18450-00,
"Visico VT-400P AC/DC комплект с аккумулятором, шт",,"1,000",9950-00,
"Visico VС-1000HHLR моноблок, шт",,"1,000",15650-00,
"Visico VС-300HH моноблок, шт",,"2,000",5700-00,
"Visico VС-300HHLR моноблок, шт",,"1,000",6950-00,
"Visico VС-400HH моноблок, шт",,"1,000",6200-00,
"Visico VС-400HLR моноблок, шт",,"11,000",7950-00,
"Visico VС-500HHLR моноблок, шт",,"2,000",9200-00,
"Visico VС-600HHLR моноблок, шт",,"2,000",9800-00,
"зап.часть Visico light stand LS-8005 spare parts, шт",,+,,
"зап.часть Visico VT flash holder, шт",,+,,
"Объектив Canon EF-S 18 135 , шт",,"1,000",,
"Фон белый 3х6м тканевый, шт",,+,1800-00,
"Фон зеленый хромакей 3х6м тканевый, шт",,+,1950-00,
"Фон серый 3х6м тканевый, шт",,+,1800-00,
"Фон синий хромакей 3х6м тканевый, шт",,+,1800-00,
