number;name;category;price;stock_info;active
9460;"Фотоаппарат Canon EOS 600D kit 18-55 IS ll";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";19440;На складе;1
14170;"Фотоаппарат Canon EOS 600D kit 50 f/1.8";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";19690;Ожидается;1
8184;"Фотоаппарат Canon EOS 60D Body";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";26490;Ожидается;1
14667;"Фотоаппарат Canon EOS 60D Body -/";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";23422;Ожидается;1
12572;"Фотоаппарат Canon EOS 60D double kit 18-55 ISII + 55-250 II";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";39539;Ожидается;1
8469;"Фотоаппарат Canon EOS 60D kit 17-85 IS";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";37390;Ожидается;1
8470;"Фотоаппарат Canon EOS 60D kit 18-135 IS";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";35990;Ожидается;1
15291;"Фотоаппарат Canon EOS 60D kit 18-135 IS -/";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";32825;Ожидается;1
9128;"Фотоаппарат Canon EOS 60D kit 18-200 IS";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";36220;Ожидается;1
8197;"Фотоаппарат Canon EOS 60D kit 18-55 IS";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";28886;Ожидается;1
14666;"Фотоаппарат Canon EOS 60D kit 18-55 IS -/";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";26149;Ожидается;1
13783;"Фотоаппарат Canon EOS 60Da Body";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";50134;Ожидается;1
13103;"Фотоаппарат Canon EOS 650D Body";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";19990;Ожидается;1
15083;"Фотоаппарат Canon EOS 650D Body -/";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";19290;На складе;1
13369;"Фотоаппарат Canon EOS 650D double kit 18-55+55-250";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";30290;Ожидается;1
14787;"Фотоаппарат Canon EOS 650D Kit 18-135 f/3.5-5.6 IS";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";33473;Ожидается;1
13215;"Фотоаппарат Canon EOS 650D Kit 18-135 f/3.5-5.6 IS STM";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";32450;На складе;1
15068;"Фотоаппарат Canon EOS 650D Kit 18-135 f/3.5-5.6 IS STM -/";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";29990;На складе;1
13102;"Фотоаппарат Canon EOS 650D kit 18-55 IS";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";22690;Ожидается;1
14719;"Фотоаппарат Canon EOS 650D kit 18-55 IS -/";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";21290;На складе;1
